date,bodyweight_kg,calories,protein_g,carbs_g,fat_g,steps,sleep_hours,sleep_quality,training_load
2026-01-01,99.2,2800,190,250,80,12000,7.5,4,7
2026-01-02,99.0,2750,185,240,75,11800,7.2,4,7
2026-01-03,98.9,3100,180,310,90,10500,6.8,3,8
2026-01-04,99.3,3300,170,360,95,9800,6.4,3,8
2026-01-05,98.8,2700,195,230,70,12500,7.1,4,6
2026-01-06,98.7,2650,188,220,72,13000,7.0,4,7
2026-01-07,98.9,2750,192,240,74,12200,6.9,3,8
2026-01-08,98.6,2600,200,210,70,12800,6.6,3,8
2026-01-09,98.7,2700,190,230,72,12600,6.5,3,8
2026-01-10,99.1,3150,175,340,88,11000,5.9,2,9
2026-01-11,99.4,3350,165,370,96,9500,5.8,2,9
2026-01-12,98.8,2650,195,220,70,12400,6.2,3,8
2026-01-13,98.6,2600,198,215,68,12900,6.4,3,8
2026-01-14,98.9,2700,190,235,72,12100,6.1,3,9
2026-01-15,98.5,2550,200,205,67,13000,6.0,3,8
2026-01-16,98.6,2600,195,215,69,12700,5.9,2,8
2026-01-17,99.0,3200,172,350,90,10100,5.6,2,9
2026-01-18,99.2,3400,168,380,98,9200,5.5,2,9
2026-01-19,98.7,2650,192,225,70,12200,6.1,3,8
2026-01-20,98.4,2550,200,205,67,12800,6.4,3,7
2026-01-21,98.6,2600,198,215,68,12600,6.3,3,8
2026-01-22,98.3,2500,205,200,65,13000,6.6,3,7
2026-01-23,98.4,2550,200,210,66,13200,6.8,3,7
2026-01-24,98.9,3150,175,345,88,10400,5.9,2,9
2026-01-25,99.1,3350,165,375,96,9600,5.7,2,9
2026-01-26,98.5,2600,195,220,68,12600,6.2,3,8
2026-01-27,98.2,2500,205,200,64,13100,6.5,3,7
2026-01-28,98.3,2550,200,210,66,12800,6.4,3,7
